,ctg13_82|[244:1237](+)|window_338--NPDC023457.gbff,ctg13_83|[1233:1668](+)|window_338--NPDC023457.gbff,ctg13_84|[1664:2591](+)|window_338--NPDC023457.gbff,ctg13_85|[2689:3268](-)|window_338--NPDC023457.gbff,ctg13_86|[3762:4566](+)|window_338--NPDC023457.gbff,ctg13_87|[4832:5327](-)|window_338--NPDC023457.gbff,ctg13_88|[5373:6168](-)|window_338--NPDC023457.gbff,ctg13_89|[6553:7966](+)|window_338--NPDC023457.gbff,ctg13_90|[8127:9084](+)|window_338--NPDC023457.gbff,ctg13_91|[9152:9596](-)|window_338--NPDC023457.gbff,ctg13_92|[9797:10583](+)|window_338--NPDC023457.gbff,ctg13_93|[10631:11399](+)|window_338--NPDC023457.gbff,ctg13_94|[11665:12523](+)|window_338--NPDC023457.gbff,ctg13_95|[12519:13185](+)|window_338--NPDC023457.gbff,ctg13_96|[13235:13598](+)|window_338--NPDC023457.gbff,ctg13_97|[13594:14188](+)|window_338--NPDC023457.gbff,ctg13_98|[14343:14712](+)|window_338--NPDC023457.gbff,ctg13_99|[14779:15124](-)|window_338--NPDC023457.gbff,ctg13_100|[15136:15364](-)|window_338--NPDC023457.gbff,ctg13_101|[15538:16258](-)|window_338--NPDC023457.gbff,ctg13_102|[16544:16760](+)|window_338--NPDC023457.gbff,ctg13_103|[16816:17662](+)|window_338--NPDC023457.gbff,ctg13_104|[17748:18720](-)|window_338--NPDC023457.gbff,ctg13_105|[18870:19293](+)|window_338--NPDC023457.gbff,ctg13_106|[20130:22203](+)|window_338--NPDC023457.gbff,ctg13_107|[22374:23751](+)|window_338--NPDC023457.gbff,ctg13_108|[23777:24422](+)|window_338--NPDC023457.gbff,ctg13_109|[24470:25475](+)|window_338--NPDC023457.gbff,ctg13_110|[25514:26654](+)|window_338--NPDC023457.gbff,ctg13_111|[26699:27881](-)|window_338--NPDC023457.gbff,ctg13_112|[27994:28969](-)|window_338--NPDC023457.gbff,ctg13_113|[28965:29916](-)|window_338--NPDC023457.gbff,ctg13_114|[30000:31527](-)|window_338--NPDC023457.gbff,ctg13_115|[31529:33245](-)|window_338--NPDC023457.gbff,ctg13_116|[33645:34338](+)|window_338--NPDC023457.gbff,ctg13_117|[34513:35038](-)|window_338--NPDC023457.gbff,ctg13_118|[35204:35636](-)|window_338--NPDC023457.gbff,ctg13_119|[35715:38055](+)|window_338--NPDC023457.gbff,ctg13_120|[38070:38688](+)|window_338--NPDC023457.gbff,ctg13_121|[38687:39725](+)|window_338--NPDC023457.gbff,ctg13_122|[40019:41300](-)|window_338--NPDC023457.gbff,ctg13_123|[41601:42777](+)|window_338--NPDC023457.gbff,ctg13_124|[42843:43707](-)|window_338--NPDC023457.gbff,ctg13_125|[43817:44390](+)|window_338--NPDC023457.gbff,ctg13_126|[44468:45011](+)|window_338--NPDC023457.gbff,ctg13_127|[45041:45530](-)|window_338--NPDC023457.gbff,ctg13_128|[45633:46041](-)|window_338--NPDC023457.gbff,ctg13_129|[46117:46744](+)|window_338--NPDC023457.gbff,ctg13_130|[46971:47787](+)|window_338--NPDC023457.gbff,ctg13_131|[47941:49108](+)|window_338--NPDC023457.gbff,ctg13_132|[49104:52191](+)|window_338--NPDC023457.gbff,ctg13_133|[52180:52627](-)|window_338--NPDC023457.gbff,ctg13_134|[52852:54028](-)|window_338--NPDC023457.gbff,ctg13_135|[54176:56072](-)|window_338--NPDC023457.gbff,ctg13_136|[56173:56809](-)|window_338--NPDC023457.gbff,ctg13_137|[57204:57804](+)|window_338--NPDC023457.gbff,ctg13_138|[57857:58091](+)|window_338--NPDC023457.gbff,ctg13_139|[58090:58462](+)|window_338--NPDC023457.gbff,ctg13_140|[58495:59884](-)|window_338--NPDC023457.gbff,ctg13_141|[59998:61390](-)|window_338--NPDC023457.gbff,ctg13_142|[61466:63038](-)|window_338--NPDC023457.gbff
window_338--NPDC023457.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_448--NPDC007050.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_533--NPDC007986.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_601--NPDC045376.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_790--NPDC053754.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_324--NPDC006537.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_720--NPDC032246.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_438--NPDC023046.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_330--NPDC006439.gbff,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_389--NPDC053753.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_653--NPDC059887.gbff,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_798--NPDC024139.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
window_64--NPDC045938.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1
window_106--GCA_900110755.1.gbff,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
